alpha,n,k,all_component_b,min_margin_a,worst_stability_median,worst_stability_max,max_generations_over_10x,median_cost_ns,05_100_reach,05_100_locked_moved,05_100_rep3_baseline,05_100_rep3_ceiling,05_100_rep3_se,05_100_rep3_drop_over_se,05_100_rep3_baseline_without_locks,05_100_rep3_ceiling_without_locks,05_100_rep3_se_without_locks,05_100_rep3_drop_over_se_without_locks,05_300_reach,05_300_locked_moved,05_300_rep3_baseline,05_300_rep3_ceiling,05_300_rep3_se,05_300_rep3_drop_over_se,05_300_rep3_baseline_without_locks,05_300_rep3_ceiling_without_locks,05_300_rep3_se_without_locks,05_300_rep3_drop_over_se_without_locks,15_100_reach,15_100_locked_moved,15_100_rep3_baseline,15_100_rep3_ceiling,15_100_rep3_se,15_100_rep3_drop_over_se,15_100_rep3_baseline_without_locks,15_100_rep3_ceiling_without_locks,15_100_rep3_se_without_locks,15_100_rep3_drop_over_se_without_locks,15_300_reach,15_300_locked_moved,15_300_rep3_baseline,15_300_rep3_ceiling,15_300_rep3_se,15_300_rep3_drop_over_se,15_300_rep3_baseline_without_locks,15_300_rep3_ceiling_without_locks,15_300_rep3_se_without_locks,15_300_rep3_drop_over_se_without_locks
0.3,1,6,True,23.779750661125803,14.9519,150.088,30,330.20500000000004,19,2,0.09062516565579103,0.04060634209083443,0.027914212622178768,1.7918765699024226,0.04564643520291179,0.02857420253861341,0.011727422696718358,1.4557531612700922,23,2,0.13958775324289352,0.052707510419533976,0.034248190782269844,2.5367834282311086,0.08737235066266585,0.03645997233713752,0.018531657005788613,2.7473192661414556,16,0,0.018730548899721835,0.00892857142857143,0.009507478083025253,1.030975552670582,0.018730548899721835,0.00892857142857143,0.009507478083025253,1.030975552670582,23,0,0.041387233810933545,0.01624657179855948,0.017179348837988093,1.4634234539077173,0.041387233810933545,0.01624657179855948,0.017179348837988093,1.4634234539077173
0.3,1,10,True,17.532751091703055,10.6797,113.177,26,443.85125,19,2,0.09062516565579103,0.04060634209083443,0.027914212622178768,1.7918765699024226,0.04564643520291179,0.02857420253861341,0.011727422696718358,1.4557531612700922,23,2,0.13958775324289352,0.052707510419533976,0.034248190782269844,2.5367834282311086,0.08737235066266585,0.03645997233713752,0.018531657005788613,2.7473192661414556,17,0,0.018730548899721835,0.008503401360544218,0.009507478083025253,1.075695094941872,0.018730548899721835,0.008503401360544218,0.009507478083025253,1.075695094941872,24,0,0.041387233810933545,0.01624657179855948,0.017179348837988093,1.4634234539077173,0.041387233810933545,0.01624657179855948,0.017179348837988093,1.4634234539077173
0.3,2,3,True,30.03780718336484,23.4976,212.045,41,237.9925,28,3,0.09062516565579103,0.00607993197278911,0.027914212622178768,3.0287522283837562,0.04564643520291179,0.006485260770975054,0.011727422696718358,3.3392822485110103,32,3,0.13958775324289352,0.004557291666666657,0.034248190782269844,3.942703497380995,0.08737235066266585,0.004861111111111122,0.018531657005788613,4.452448020475516,22,0,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,25,0,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272
0.3,2,6,True,15.835220125786163,14.9519,150.088,30,330.20500000000004,30,3,0.09062516565579103,0.00607993197278911,0.027914212622178768,3.0287522283837562,0.04564643520291179,0.006485260770975054,0.011727422696718358,3.3392822485110103,32,3,0.13958775324289352,0.004557291666666657,0.034248190782269844,3.942703497380995,0.08737235066266585,0.004861111111111122,0.018531657005788613,4.452448020475516,22,0,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,25,0,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272
0.3,2,10,True,12.500000000000002,10.6797,113.177,26,443.85125,31,3,0.09062516565579103,0.00607993197278911,0.027914212622178768,3.0287522283837562,0.04564643520291179,0.006485260770975054,0.011727422696718358,3.3392822485110103,33,3,0.13958775324289352,0.004166666666666652,0.034248190782269844,3.954109209363954,0.08737235066266585,0.004444444444444445,0.018531657005788613,4.474932068531042,24,0,0.018730548899721835,0.00021258503401360568,0.009507478083025253,1.9477261692320267,0.018730548899721835,0.00021258503401360568,0.009507478083025253,1.9477261692320267,25,0,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272
0.3,3,3,True,32.05244578920827,23.4976,212.045,41,237.9925,28,3,0.09062516565579103,0.00607993197278911,0.027914212622178768,3.0287522283837562,0.04564643520291179,0.006485260770975054,0.011727422696718358,3.3392822485110103,33,3,0.13958775324289352,0.004166666666666652,0.034248190782269844,3.954109209363954,0.08737235066266585,0.004444444444444445,0.018531657005788613,4.474932068531042,22,0,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,25,0,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272
0.3,3,6,True,16.767448055407563,14.9519,150.088,30,330.20500000000004,30,3,0.09062516565579103,0.00607993197278911,0.027914212622178768,3.0287522283837562,0.04564643520291179,0.006485260770975054,0.011727422696718358,3.3392822485110103,33,3,0.13958775324289352,0.004166666666666652,0.034248190782269844,3.954109209363954,0.08737235066266585,0.004444444444444445,0.018531657005788613,4.474932068531042,22,0,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,0.018730548899721835,0.000637755102040817,0.009507478083025253,1.9030066269607366,25,0,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272
0.3,3,10,True,12.52079002079002,10.6797,113.177,26,443.85125,31,3,0.09062516565579103,0.00607993197278911,0.027914212622178768,3.0287522283837562,0.04564643520291179,0.006485260770975054,0.011727422696718358,3.3392822485110103,33,3,0.13958775324289352,0.004166666666666652,0.034248190782269844,3.954109209363954,0.08737235066266585,0.004444444444444445,0.018531657005788613,4.474932068531042,24,0,0.018730548899721835,0.00021258503401360568,0.009507478083025253,1.9477261692320267,0.018730548899721835,0.00021258503401360568,0.009507478083025253,1.9477261692320267,25,0,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272,0.041387233810933545,0.0003097341086972377,0.017179348837988093,2.3910975957018272
0.6,1,3,True,22.53900709219858,23.4976,212.045,41,237.9925,24,2,0.09062516565579103,0.030189675424167763,0.027914212622178768,2.165043701917111,0.04564643520291179,0.017463091427502297,0.011727422696718358,2.403200132224784,27,2,0.13958775324289352,0.03356893607378941,0.034248190782269844,3.0956034391162537,0.08737235066266585,0.01604549303500999,0.018531657005788613,3.8489195869196133,21,0,0.018730548899721835,0.008290816326530613,0.009507478083025253,1.098054866077517,0.018730548899721835,0.008290816326530613,0.009507478083025253,1.098054866077517,27,0,0.041387233810933545,0.01624657179855948,0.017179348837988093,1.4634234539077173,0.041387233810933545,0.01624657179855948,0.017179348837988093,1.4634234539077173
0.6,1,6,True,11.889875330562901,14.9519,150.088,30,330.20500000000004,27,2,0.09062516565579103,0.02926653219427306,0.027914212622178768,2.198114426224815,0.04564643520291179,0.016478405315614623,0.011727422696718358,2.487164540889206,30,2,0.13958775324289352,0.0326647360647474,0.034248190782269844,3.122004834004246,0.08737235066266585,0.015081013025365186,0.018531657005788613,3.9009645826446873,26,0,0.018730548899721835,0.008078231292517007,0.009507478083025253,1.120414637213162,0.018730548899721835,0.008078231292517007,0.009507478083025253,1.120414637213162,31,0,0.041387233810933545,0.016078561045871305,0.017179348837988093,1.473203263042081,0.041387233810933545,0.016078561045871305,0.017179348837988093,1.473203263042081
